local,oaci,iata,tipo,denominacion,coordenadas,latitud,longitud,elev,uom_elev,ref,distancia_ref,direccion_ref,condicion,control,region,fir,uso,trafico,sna,concesionado,provincia,inhab
ACB,SIN_CODIGO,SIN_CODIGO,aeródromo,CORONEL BOGADO/AGROSERVICIOS,"33°16'20""S  60°34'14""W",-33.27222222222222,-60.57055555555556,44.0,Metros,Coronel Bogado,6.0,NE,PRIVADO,NOCONTROL,RACE,SAEF,aeroapp,Nacional,NO,NO,Santa Fé,NO
ACH,SIN_CODIGO,SIN_CODIGO,aeródromo,GENERAL ACHA,"37°24' 6""S  64°36'49""W",-37.401666666666664,-64.61361111111111,277.0,Metros,General Acha,3.0,SO,PUBLICO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,La Pampa,NO
ACM,SIN_CODIGO,SIN_CODIGO,aeródromo,ARRECIFES/LA CURA MALAL,"34° 4'33""S  60° 8'30""W",-34.075833333333335,-60.141666666666666,37.0,Metros,Arrecifes,4.0,OSO,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
ADO,SAWD,PUD,aeródromo,PUERTO DESEADO,"47°44' 6""S  65°54'15""W",-47.735,-65.90416666666667,82.0,Metros,Puerto Deseado,2.0,N,PUBLICO,AERADIO,RASU,SAVF,civil,Nacional,NO,NO,Santa Cruz,NO
ADT,SIN_CODIGO,SIN_CODIGO,aeródromo,BANDERA/AGROSERVICIOS DOÑA TERESA,"28°51'19""S  62°15'53""W",-28.85527777777778,-62.264722222222225,75.0,Metros,Bandera,4.0,N,PRIVADO,NOCONTROL,RANO,SACF,aeroapp,Nacional,NO,NO,Santiago Del Estero,NO
ADU,SIN_CODIGO,SIN_CODIGO,aeródromo,BANDERA/DUTTO,"28°52' 1""S  62°14'17""W",-28.866944444444446,-62.238055555555555,87.0,Metros,Bandera,3.0,NE,PRIVADO,NOCONTROL,RANO,SACF,aeroapp,Nacional,NO,NO,Santiago Del Estero,NO
AER,SABE,AEP,aeródromo,BUENOS AIRES/AEROPARQUE J. NEWBERY,"34°33'32""S  58°24'59""W",-34.55888888888889,-58.41638888888889,5.6,Metros,Ciudad de Buenos Aires,2.0,NE,PUBLICO,CONTROL,RACE,SAEF,joint,Internacional,SI,SI,Ciudad Autónoma De Buenos Aires,NO
AGI,SAVA,SIN_CODIGO,aeródromo,PIEDRA DEL ÁGUILA,"40°11'32""S  70° 0'39""W",-40.19222222222222,-70.01083333333334,649.0,Metros,Piedra del Águila,17.0,SSE,PRIVADO,NOCONTROL,RACE,SAEF,desconocido,Nacional,NO,NO,Neuquén,NO
AGR,SIN_CODIGO,SIN_CODIGO,aeródromo,ALTA GRACIA,"31°39' 4""S  64°23'38""W",-31.65111111111111,-64.3938888888889,533.0,Metros,Alta Gracia,2.0,E,PUBLICO,NOCONTROL,RANO,SACF,civil,Nacional,NO,NO,Córdoba,NO
AII,SIN_CODIGO,SIN_CODIGO,aeródromo,CHACABUCO/LAS DOS A,"34°48'40""S  60°30'60""W",-34.81111111111111,-60.516666666666666,60.0,Metros,Chacabuco,20.0,SSO,PRIVADO,NOCONTROL,RACE,SAEF,aeroapp,Nacional,NO,NO,Buenos Aires,NO
AJA,SIN_CODIGO,SIN_CODIGO,aeródromo,LA LAJA,"31°21' 5""S  68°28'23""W",-31.35138888888889,-68.47305555555556,650.0,Metros,La Laja,1.0,SSE,PRIVADO,NOCONTROL,RANO,SAMF,civil,Nacional,NO,NO,San Juan,NO
ALC,SIN_CODIGO,SIN_CODIGO,aeródromo,AMEGHINO/LA CHACRA,"34°48'34""S  62°31'23""W",-34.809444444444445,-62.52305555555555,109.0,Metros,Florentino Ameghino,7.0,NO,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
ALL,SIN_CODIGO,SIN_CODIGO,aeródromo,ALLEN,"38°57'30""S  67°48'10""W",-38.958333333333336,-67.80277777777778,290.0,Metros,Allen,3.5,E,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Río Negro,NO
ALR,SIN_CODIGO,SIN_CODIGO,aeródromo,ALEJANDRO ROCA,"33°20'55""S  63°43'48""W",-33.34861111111111,-63.730000000000004,210.0,Metros,Alejandro Roca,1.5,SO,PRIVADO,NOCONTROL,RANO,SACF,civil,Nacional,NO,NO,Córdoba,NO
ALT,SIN_CODIGO,SIN_CODIGO,aeródromo,CRUZ ALTA,"33° 0'28""S  61°50'13""W",-33.007777777777775,-61.83694444444445,97.0,Metros,Cruz Alta,2.0,O,PUBLICO,NOCONTROL,RACE,SACF,civil,Nacional,NO,NO,Córdoba,NO
ALV,SIN_CODIGO,SIN_CODIGO,aeródromo,ALVEAR/AGROALVEAR SRL,"33° 4' 7""S  60°40' 1""W",-33.06861111111112,-60.66694444444444,32.0,Metros,Alvear,4.5,O,PRIVADO,NOCONTROL,RACE,SAEF,aeroapp,Nacional,NO,NO,Santa Fé,NO
AMA,SIN_CODIGO,SIN_CODIGO,aeródromo,ROBERTS/LA AMALIA,"35° 6' 2""S  62° 0'60""W",-35.10055555555556,-62.016666666666666,100.0,Metros,Roberts,6.5,NO,PRIVADO,NOCONTROL,RACE,SAEF,aeroapp,Nacional,NO,NO,Buenos Aires,NO
AME,SIN_CODIGO,SIN_CODIGO,aeródromo,AMEGHINO/SIGFRIDO ROHR,"34°49'50""S  62°28' 4""W",-34.830555555555556,-62.467777777777776,110.0,Metros,Florentino Ameghino,2.0,N,PRIVADO,NOCONTROL,RACE,SAEF,aeroapp,Nacional,NO,NO,Buenos Aires,NO
AMG,SIN_CODIGO,SIN_CODIGO,aeródromo,AMEGHINO,"34°50'43""S  62°28'58""W",-34.84527777777778,-62.48277777777778,110.0,Metros,Florentino Ameghino,2.5,ONO,PRIVADO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
ANA,SIN_CODIGO,SIN_CODIGO,aeródromo,PARANÁ/AEROCLUB,"31°45'28""S  60°22'26""W",-31.75777777777778,-60.37388888888889,60.0,Metros,La Picada,15.0,ESE,PUBLICO,NOCONTROL,RACE,SAEF,desconocido,Nacional,NO,NO,Entre Ríos,NO
AND,SIN_CODIGO,SIN_CODIGO,aeródromo,ANDALGALÁ,"27°37'41""S  66°20'34""W",-27.628055555555555,-66.34277777777777,900.0,Metros,Andalgalá,1.0,O,PRIVADO,NOCONTROL,RANO,SACF,civil,Nacional,NO,NO,Catamarca,NO
APO,SIN_CODIGO,SIN_CODIGO,aeródromo,APÓSTOLES,"27°54'12""S  55°45'56""W",-27.903333333333332,-55.76555555555556,117.0,Metros,Apóstoles,1.6,NO,PRIVADO,NOCONTROL,RANE,SARR,civil,Nacional,NO,NO,Misiones,NO
ARB,SIN_CODIGO,SIN_CODIGO,aeródromo,ARRIBEÑOS,"34°13'19""S  61°23'12""W",-34.221944444444446,-61.38666666666666,82.0,Metros,Arribeños,3.3,SO,PUBLICO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
ARS,SAVR,ARR,aeródromo,ALTO RÍO SENGUERR/D. C. SZLAPELIS,"45° 0'48""S  70°48'46""W",-45.013333333333335,-70.81277777777777,697.0,Metros,Alto Río Senguerr,3.0,N,PUBLICO,AERADIO,RASU,SACF,civil,Nacional,NO,NO,Chubut,NO
ARY,SIN_CODIGO,SIN_CODIGO,aeródromo,ARROYITO/ARCOR,"31°25'20""S  63° 0'18""W",-31.422222222222224,-63.005,148.0,Metros,Arroyito,4.0,E,PUBLICO,NOCONTROL,RANO,SACF,civil,Nacional,NO,NO,Córdoba,NO
ATE,SIN_CODIGO,SIN_CODIGO,aeródromo,ZÁRATE,"34° 7' 6""S  59° 4'58""W",-34.11833333333333,-59.08277777777778,26.0,Metros,Zárate,6.0,SO,PUBLICO,NOCONTROL,RACE,SAEF,desconocido,Nacional,NO,NO,Buenos Aires,NO
ATN,SIN_CODIGO,SIN_CODIGO,aeródromo,TRENQUE LAUQUEN/LA ARGENTINA,"35°59'52""S  62°42'23""W",-35.99777777777778,-62.70638888888889,95.0,Metros,Trenque Lauquen,2.0,SE,PRIVADO,NOCONTROL,RACE,SAEF,aeroapp,Nacional,NO,NO,Buenos Aires,NO
AUL,SIN_CODIGO,SIN_CODIGO,aeródromo,AMEGHINO/AUGUSTO LEGUIZAMÓN,"34°49' 5""S  62°28'38""W",-34.81805555555556,-62.477222222222224,109.0,Metros,Florentino Ameghino,3.0,NNO,PRIVADO,NOCONTROL,RACE,SAEF,aeroapp,Nacional,NO,NO,Buenos Aires,NO
AVA,SIN_CODIGO,SIN_CODIGO,aeródromo,ALVEAR/AEROPARQUE ROSARIO,"33° 2'49""S  60°35'51""W",-33.04694444444444,-60.597500000000004,26.0,Metros,Alvear,2.5,ENE,PUBLICO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Santa Fé,NO
AVL,SIN_CODIGO,SIN_CODIGO,aeródromo,AVELLANEDA/PRESIDENTE AVELLANEDA,"29° 6'22""S  59°39'27""W",-29.10611111111111,-59.6575,45.0,Metros,Avellaneda,1.0,N,PUBLICO,NOCONTROL,RANE,SARR,civil,Nacional,NO,NO,Santa Fé,NO
AYA,SIN_CODIGO,SIN_CODIGO,aeródromo,AYACUCHO,"37° 9'45""S  58°28'23""W",-37.1625,-58.473055555555554,77.0,Metros,Ayacucho,0.9,SE,PUBLICO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
BAD,SIN_CODIGO,SIN_CODIGO,aeródromo,BERÓN DE ASTRADA/DINALUCA S.A.,"27°22'58""S  57°38'39""W",-27.38277777777778,-57.64416666666666,67.0,Metros,Berón de Astrada,21.0,NNO,PRIVADO,NOCONTROL,RANE,SARR,civil,Nacional,NO,NO,Corrientes,NO
BAI,SIN_CODIGO,SIN_CODIGO,aeródromo,LAGO BUENOS AIRES,"46°34'34""S  70°56'53""W",-46.57611111111112,-70.94805555555556,387.0,Metros,Perito Moreno,2.5,NNO,PRIVADO,NOCONTROL,RASU,SAVF,civil,Nacional,NO,NO,Santa Cruz,NO
BAL,SIN_CODIGO,SIN_CODIGO,aeródromo,BALCARCE,"37°54'55""S  58°20'37""W",-37.915277777777774,-58.343611111111116,120.0,Metros,Balcarce,12.0,S,PUBLICO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Buenos Aires,NO
BAR,SAZS,BRC,aeródromo,SAN CARLOS DE BARILOCHE,"41° 9' 4""S  71° 9'28""W",-41.151111111111106,-71.15777777777778,846.0,Metros,San Carlos de Bariloche,13.0,E,PUBLICO,CONTROL,RACE,SAEF,desconocido,Internacional,SI,SI,Río Negro,NO
BAS,SIN_CODIGO,SIN_CODIGO,aeródromo,BASAVILBASO,"32°21'42""S  58°52'54""W",-32.361666666666665,-58.88166666666667,60.0,Metros,Basavilbaso,1.0,NO,PUBLICO,NOCONTROL,RACE,SAEF,civil,Nacional,NO,NO,Entre Ríos,NO
